absEta_0_1-bad-Et_0_20           runNumber   3   999999   1.0071 0.0   0.0   0.0
absEta_0_1-bad-Et_20_21          runNumber   3   999999   1.0064 0.0   0.0   0.0
absEta_0_1-bad-Et_21_22          runNumber   3   999999   1.0052 0.0   0.0   0.0
absEta_0_1-bad-Et_22_23          runNumber   3   999999   1.0041 0.0   0.0   0.0
absEta_0_1-bad-Et_23_24          runNumber   3   999999   1.0031 0.0   0.0   0.0
absEta_0_1-bad-Et_24_25          runNumber   3   999999   1.0022 0.0   0.0   0.0
absEta_0_1-bad-Et_25_26          runNumber   3   999999   1.0014 0.0   0.0   0.0
absEta_0_1-bad-Et_26_27          runNumber   3   999999   1.0007 0.0   0.0   0.0
absEta_0_1-bad-Et_27_28          runNumber   3   999999   1.0001 0.0   0.0   0.0
absEta_0_1-bad-Et_28_29          runNumber   3   999999   0.9995 0.0   0.0   0.0
absEta_0_1-bad-Et_29_30          runNumber   3   999999   0.9990 0.0   0.0   0.0
absEta_0_1-bad-Et_30_31          runNumber   3   999999   0.9985 0.0   0.0   0.0
absEta_0_1-bad-Et_31_32          runNumber   3   999999   0.9981 0.0   0.0   0.0
absEta_0_1-bad-Et_32_33          runNumber   3   999999   0.9977 0.0   0.0   0.0
absEta_0_1-bad-Et_33_34          runNumber   3   999999   0.9973 0.0   0.0   0.0
absEta_0_1-bad-Et_34_35          runNumber   3   999999   0.9970 0.0   0.0   0.0
absEta_0_1-bad-Et_35_36          runNumber   3   999999   0.9967 0.0   0.0   0.0
absEta_0_1-bad-Et_36_37          runNumber   3   999999   0.9964 0.0   0.0   0.0
absEta_0_1-bad-Et_37_38          runNumber   3   999999   0.9961 0.0   0.0   0.0
absEta_0_1-bad-Et_38_39          runNumber   3   999999   0.9959 0.0   0.0   0.0
absEta_0_1-bad-Et_39_40          runNumber   3   999999   0.9957 0.0   0.0   0.0
absEta_0_1-bad-Et_40_41          runNumber   3   999999   0.9955 0.0   0.0   0.0
absEta_0_1-bad-Et_41_42          runNumber   3   999999   0.9953 0.0   0.0   0.0
absEta_0_1-bad-Et_42_43          runNumber   3   999999   0.9952 0.0   0.0   0.0
absEta_0_1-bad-Et_43_44          runNumber   3   999999   0.9950 0.0   0.0   0.0
absEta_0_1-bad-Et_44_45          runNumber   3   999999   0.9949 0.0   0.0   0.0
absEta_0_1-bad-Et_45_46          runNumber   3   999999   0.9947 0.0   0.0   0.0
absEta_0_1-bad-Et_46_47          runNumber   3   999999   0.9946 0.0   0.0   0.0
absEta_0_1-bad-Et_47_48          runNumber   3   999999   0.9945 0.0   0.0   0.0
absEta_0_1-bad-Et_48_49          runNumber   3   999999   0.9944 0.0   0.0   0.0
absEta_0_1-bad-Et_49_50          runNumber   3   999999   0.9943 0.0   0.0   0.0
absEta_0_1-bad-Et_50_51          runNumber   3   999999   0.9942 0.0   0.0   0.0
absEta_0_1-bad-Et_51_52          runNumber   3   999999   0.9941 0.0   0.0   0.0
absEta_0_1-bad-Et_52_53          runNumber   3   999999   0.9941 0.0   0.0   0.0
absEta_0_1-bad-Et_53_54          runNumber   3   999999   0.9940 0.0   0.0   0.0
absEta_0_1-bad-Et_54_55          runNumber   3   999999   0.9939 0.0   0.0   0.0
absEta_0_1-bad-Et_55_56          runNumber   3   999999   0.9939 0.0   0.0   0.0
absEta_0_1-bad-Et_56_57          runNumber   3   999999   0.9938 0.0   0.0   0.0
absEta_0_1-bad-Et_57_58          runNumber   3   999999   0.9938 0.0   0.0   0.0
absEta_0_1-bad-Et_58_59          runNumber   3   999999   0.9937 0.0   0.0   0.0
absEta_0_1-bad-Et_59_60          runNumber   3   999999   0.9937 0.0   0.0   0.0
absEta_0_1-bad-Et_60_61          runNumber   3   999999   0.9937 0.0   0.0   0.0
absEta_0_1-bad-Et_61_62          runNumber   3   999999   0.9936 0.0   0.0   0.0
absEta_0_1-bad-Et_62_63          runNumber   3   999999   0.9936 0.0   0.0   0.0
absEta_0_1-bad-Et_63_64          runNumber   3   999999   0.9936 0.0   0.0   0.0
absEta_0_1-bad-Et_64_65          runNumber   3   999999   0.9935 0.0   0.0   0.0
absEta_0_1-bad-Et_65_66          runNumber   3   999999   0.9935 0.0   0.0   0.0
absEta_0_1-bad-Et_66_67          runNumber   3   999999   0.9935 0.0   0.0   0.0
absEta_0_1-bad-Et_67_68          runNumber   3   999999   0.9935 0.0   0.0   0.0
absEta_0_1-bad-Et_68_69          runNumber   3   999999   0.9935 0.0   0.0   0.0
absEta_0_1-bad-Et_69_70          runNumber   3   999999   0.9935 0.0   0.0   0.0
absEta_0_1-bad-Et_70_71          runNumber   3   999999   0.9935 0.0   0.0   0.0
absEta_0_1-bad-Et_71_72          runNumber   3   999999   0.9935 0.0   0.0   0.0
absEta_0_1-bad-Et_72_73          runNumber   3   999999   0.9934 0.0   0.0   0.0
absEta_0_1-bad-Et_73_74          runNumber   3   999999   0.9934 0.0   0.0   0.0
absEta_0_1-bad-Et_74_75          runNumber   3   999999   0.9934 0.0   0.0   0.0
absEta_0_1-bad-Et_75_76          runNumber   3   999999   0.9934 0.0   0.0   0.0
absEta_0_1-bad-Et_76_77          runNumber   3   999999   0.9934 0.0   0.0   0.0
absEta_0_1-bad-Et_77_78          runNumber   3   999999   0.9934 0.0   0.0   0.0
absEta_0_1-bad-Et_78_79          runNumber   3   999999   0.9934 0.0   0.0   0.0
absEta_0_1-bad-Et_79_80          runNumber   3   999999   0.9934 0.0   0.0   0.0
absEta_0_1-bad-Et_80_10000       runNumber   3   999999   0.9934 0.0   0.0   0.0
absEta_1_1.4442-gold-Et_0_20     runNumber   3   999999   1.0137 0.0   0.0   0.0
absEta_1_1.4442-gold-Et_20_21    runNumber   3   999999   1.0134 0.0   0.0   0.0
absEta_1_1.4442-gold-Et_21_22    runNumber   3   999999   1.0128 0.0   0.0   0.0
absEta_1_1.4442-gold-Et_22_23    runNumber   3   999999   1.0124 0.0   0.0   0.0
absEta_1_1.4442-gold-Et_23_24    runNumber   3   999999   1.0119 0.0   0.0   0.0
absEta_1_1.4442-gold-Et_24_25    runNumber   3   999999   1.0115 0.0   0.0   0.0
absEta_1_1.4442-gold-Et_25_26    runNumber   3   999999   1.0112 0.0   0.0   0.0
absEta_1_1.4442-gold-Et_26_27    runNumber   3   999999   1.0108 0.0   0.0   0.0
absEta_1_1.4442-gold-Et_27_28    runNumber   3   999999   1.0105 0.0   0.0   0.0
absEta_1_1.4442-gold-Et_28_29    runNumber   3   999999   1.0102 0.0   0.0   0.0
absEta_1_1.4442-gold-Et_29_30    runNumber   3   999999   1.0100 0.0   0.0   0.0
absEta_1_1.4442-gold-Et_30_31    runNumber   3   999999   1.0097 0.0   0.0   0.0
absEta_1_1.4442-gold-Et_31_32    runNumber   3   999999   1.0095 0.0   0.0   0.0
absEta_1_1.4442-gold-Et_32_33    runNumber   3   999999   1.0093 0.0   0.0   0.0
absEta_1_1.4442-gold-Et_33_34    runNumber   3   999999   1.0091 0.0   0.0   0.0
absEta_1_1.4442-gold-Et_34_35    runNumber   3   999999   1.0089 0.0   0.0   0.0
absEta_1_1.4442-gold-Et_35_36    runNumber   3   999999   1.0087 0.0   0.0   0.0
absEta_1_1.4442-gold-Et_36_37    runNumber   3   999999   1.0086 0.0   0.0   0.0
absEta_1_1.4442-gold-Et_37_38    runNumber   3   999999   1.0084 0.0   0.0   0.0
absEta_1_1.4442-gold-Et_38_39    runNumber   3   999999   1.0083 0.0   0.0   0.0
absEta_1_1.4442-gold-Et_39_40    runNumber   3   999999   1.0081 0.0   0.0   0.0
absEta_1_1.4442-gold-Et_40_41    runNumber   3   999999   1.0080 0.0   0.0   0.0
absEta_1_1.4442-gold-Et_41_42    runNumber   3   999999   1.0079 0.0   0.0   0.0
absEta_1_1.4442-gold-Et_42_43    runNumber   3   999999   1.0078 0.0   0.0   0.0
absEta_1_1.4442-gold-Et_43_44    runNumber   3   999999   1.0077 0.0   0.0   0.0
